img_name,pred_marks
GidbMC1.jpg,1
6EoSuEJ.jpg,4
K4M2DDt.jpg,6
fj6yfEh.jpg,1
A4qd5JR.jpg,3
jx1zqEB.jpg,1
DyEbp6j.jpg,2
Itmbytc.jpg,1
gPUwdE9.jpg,3
Ef8ACCI.jpg,7
kc3HJAc.jpg,6
BwGdMO9.jpg,5
CVgnnPz.jpg,1
hBD1FRE.jpg,2
HOtiavT.jpg,5
94eVJfM.jpg,6
jioK374.jpg,6
fSoFduO.jpg,5
8M5CU9m.jpg,1
406Rype.jpg,7
jMBzTSY.jpg,6
4o6dYrK.jpg,10
CLBs5ko.jpg,5
EPXRcep.jpg,6
FpQD5VW.jpg,9
BniP88N.jpg,9
cUCYouh.jpg,3
DFGByuP.jpg,2
DpgnoTP.jpg,8
3pwsTyE.jpg,4
FMctx8O.jpg,0
Kk3EIE8.jpg,1
k3fXpaB.jpg,5
FVofCFc.jpg,1
hJTSb28.jpg,6
gWKDGZp.jpg,3
frSrwVi.jpg,8
7I0zVgw.jpg,2
1gwlmOe.jpg,4
dcKPZ70.jpg,6
KikF8Hg.jpg,3
hkpSQ2K.jpg,1
7iS1YLO.jpg,0
H2iPb1j.jpg,3
52pqQSe.jpg,0
54jROSP.jpg,1
g9OnxRJ.jpg,4
gOCVU3H.jpg,2
fSgibgb.jpg,3
5VUV5Ds.jpg,0
j6uC3Xk.jpg,8
Ao4IYZg.jpg,5
gMDq8yp.jpg,1
FNjcH1n.jpg,9
keUAEPk.jpg,6
JX0es3Z.jpg,1
Gn7hJNd.jpg,8
iw06r3Q.jpg,2
eGngzyy.jpg,6
gdtcR42.jpg,3
gaFls3o.jpg,5
I6Y9leA.jpg,5
f6396vC.jpg,7
IbR3JQ2.jpg,1
dOhV2kI.jpg,4
IF69nYD.jpg,5
AEvXq0w.jpg,4
5vQyXpN.jpg,5
atMTlVH.jpg,2
0MCLnne.jpg,5
g2XWJ8f.jpg,7
CutQ325.jpg,10
f5UXaA3.jpg,8
lgTFx2j.jpg,2
J4KSh3L.jpg,7
cScH1M6.jpg,8
gbeOzSl.jpg,2
dmZCR9Y.jpg,8
CrwqCnM.jpg,2
2PvIZDE.jpg,1
57xTE5U.jpg,4
Ar4iTZu.jpg,2
GUALkq5.jpg,8
fW3Q3I0.jpg,3
9ho2npk.jpg,1
AoWLqhH.jpg,1
0qZVJKm.jpg,2
CgQmkHz.jpg,0
A2bBrU9.jpg,6
fWen73r.jpg,6
5nwXIEF.jpg,1
6bqo0C9.jpg,2
JknFlEx.jpg,2
F436xrf.jpg,1
cODChJY.jpg,3
KB26N1r.jpg,7
hSIB9dp.jpg,5
leDjQxO.jpg,5
CVx5tZW.jpg,0
H6JMOwY.jpg,9
0rmWKaj.jpg,2
IOj3f0x.jpg,6
jzBnw4J.jpg,8
AuWeWTd.jpg,1
kLPP4io.jpg,2
jwVRl8o.jpg,4
gyP6GmY.jpg,1
KGv7TpN.jpg,0
JmeCIC1.jpg,1
kJqpZlJ.jpg,4
GiTl4gv.jpg,0
J6SsjFs.jpg,0
8m1YEXP.jpg,3
0Ld34zC.jpg,1
GRBnj1Z.jpg,5
icWtiVC.jpg,0
d0CumBh.jpg,5
DtoSTqh.jpg,2
8e9QLg4.jpg,2
3G7htqD.jpg,5
BJMdF88.jpg,5
k3MGv5p.jpg,4
1NFTcys.jpg,6
DT4N2Zg.jpg,2
IUmBbJR.jpg,1
bvW2cMc.jpg,6
JyjneLe.jpg,8
7c7a0By.jpg,7
15KUC2C.jpg,4
jVAcbJd.jpg,1
EB96Q7Y.jpg,1
D7klNpd.jpg,0
dDKJWPG.jpg,5
1zHXQVK.jpg,1
gjQ3l7z.jpg,5
BUtmjUM.jpg,2
3kYHjN0.jpg,4
0c7xEno.jpg,2
D6dDvU3.jpg,9
dzWtTiV.jpg,2
F0L3AOw.jpg,3
GMgHHm1.jpg,4
KAyvprp.jpg,2
jbJWS9A.jpg,7
kSgH2u5.jpg,2
0OdLk7m.jpg,1
eDELdBV.jpg,0
CG1NIoo.jpg,5
104uBJZ.jpg,1
bOMQ443.jpg,8
hsrMdD1.jpg,8
AUFftAQ.jpg,5
H9hqtAY.jpg,7
DCqErqb.jpg,8
dmBFpeL.jpg,6
7pahTUB.jpg,8
F0nOhUP.jpg,5
EPA6x5l.jpg,1
KYwE0DO.jpg,1
fq5o2TP.jpg,3
Jqj9QLY.jpg,9
bAgEOfS.jpg,4
1BDUOhL.jpg,5
Icxu8bH.jpg,0
Bk5vzlP.jpg,9
HGxZ4n9.jpg,2
Lj8xMTS.jpg,1
a72tRvR.jpg,5
BlQwjrY.jpg,3
JcwfXfG.jpg,3
cRogGRp.jpg,6
8F8YMZl.jpg,7
246j0f6.jpg,0
KKfbb39.jpg,8
diLM5gw.jpg,4
2sjzRpB.jpg,6
EIHSAUE.jpg,8
1f5kc6O.jpg,2
hOqd6O1.jpg,6
9tuGAkX.jpg,2
DrHXuVC.jpg,8
CsJgfN3.jpg,0
0lnF9tq.jpg,3
9jJTcYP.jpg,7
5pOfNJj.jpg,6
9X9qVWN.jpg,3
HIZNGdx.jpg,7
bd3p317.jpg,7
e38fphp.jpg,8
A2sNCY3.jpg,3
55RvBa9.jpg,1
HS8kvmW.jpg,8
6FPOAn4.jpg,6
6nLvfDA.jpg,8
4us8p1f.jpg,7
hTdvXQF.jpg,7
fxCtAQD.jpg,6
iz8f2EL.jpg,6
kGfwhg1.jpg,7
hhP1kex.jpg,7
6jHuOGj.jpg,4
H6A3t08.jpg,1
InCQsuH.jpg,1
I3rHIGa.jpg,4
8wUWOwd.jpg,8
40B8D9P.jpg,0
ewA8Rpn.jpg,1
GCKySAb.jpg,4
kaXEAip.jpg,0
bztNZnR.jpg,0
J5RlmQv.jpg,2
0CtvlvW.jpg,2
d698jqy.jpg,1
8uEnJiI.jpg,8
3zxEEBC.jpg,2
